SMILES sequence,Binding Affinity
Cc1ccc(C2CNCCN2C)cc1,-20.753379299835007
CCOC(CO)c1ccccc1,-16.59195750798188
CC(=O)Nc1cnn(C)n1,-24.3095976483294
CCC(C)NCc1ncccn1,-22.46430122721862
CC(C)=C1CC(N)C1,-19.031038057876806
CN1CCCc2cc(CON)ccc21,-21.071627440992096
CC12CNCC1CN(CC(N)=O)C2,-23.58655425825846
CCNC(C)C(C)c1cnccc1C,-19.812323468238137
CCN(Cc1ccccc1)C(C)CCCNC,-17.993453588916054
CCC(=O)c1cc(C)ccn1,-17.869803342418393
C=CC(O)c1cc(C)ccn1,-17.869803342418393
C#CCCOc1cnccc1C,-17.25523602906236
Cn1nc2ccccc2c1S(N)(=O)=O,-25.66538150332478
Cn1cnn(CC(N)=O)c1=O,-24.45961376428667
CC(NCCSc1ccccc1)c1ccncc1,-21.25189118574562
Cc1ccsc1-c1ccc(O)nc1,-20.861397207068972
N#Cc1ncccc1N1CC2CC1CN2,-24.774163419003045
N#Cc1cnccc1SCC(N)=O,-21.05353708269605
N#Cc1ccc(C2NCCCCC2=O)cn1,-21.379004107903718
CC(C)C(C)Sc1ccc(C#N)cn1,-19.684272976021177
Cc1ccnc(C=CCCN)c1,-19.836099426216734
CCOC(CC)C(=O)c1cnccc1C,-17.627031261462754
Cc1ccncc1C(O)CNCC(C)C,-19.777626252301907
CS(=O)(=O)c1ncc(N)cn1,-22.871960602815225
OCC(O)CCSCc1ccccc1,-16.93590321437255
COC(=O)CNCc1cc(C)ccn1,-19.95304759396609
CCOC(c1ccccc1)C(CC)NN,-19.777626252301907
Cc1ccncc1C(=O)CCCN(C)C,-19.44121276472132
C=CCCSCCNc1cc(C)ccn1,-19.890843243116336
CCNC(=S)NNC(=O)Cc1ccccc1,-21.653791451743487
OC(CCCc1ccccc1)c1cccnc1,-19.049760350644455
CC(=O)CC(C)c1cnccc1C,-17.82507269941386
CN1CCC(O)(c2ccoc2)CC1,-19.916562316334623
Cc1ccnc(NC(=O)C#CCN)c1,-20.711941316449945
N#Cc1cnccc1NCCCO,-21.32325009434935
CCSCc1cncc(C#N)c1,-19.69387334976795
NC1=CCOC1=O,-17.48038558462352
CNC(CSC1CCCCC1)Cc1cccnc1,-19.41807395375892
COC(=O)c1ccc(C(C)C=O)cc1,-15.430984955202817
CC(=O)CC(O)c1cnccc1C,-17.9839621715653
CCCNCc1ccccc1S(N)(=O)=O,-20.927496480613357
N#Cc1nccnc1N1CCCOCC1,-24.119483994762142
CCC(CC)Oc1ncccc1C#N,-19.234642497626158
CC(C)(C)C(C)(N)c1ccccc1,-18.034468448644127
CN(C)NCc1ccccc1,-20.49847434027447
NC12CCCC1CNC2,-22.52442033122249
C(=Cc1ccccc1)CNCc1cccnc1,-20.511592499421866
CCNCCNc1ncccc1C#N,-23.197189512200943
CC(C)OCc1ccc(C#N)cn1,-19.302371518237642
NC1Cc2csnc2C1,-22.196673320407733
Cc1ccsc1C1NCCCCC1O,-20.107233371311395
N#CCCNCc1cncnc1,-23.206789885947718
COC(=O)c1ccccc1C#CCO,-14.807725863412085
N#CC1CN(CCN)C(=O)O1,-21.76195902724173
CC(CCO)Nc1ccc(C#N)cn1,-21.303328674439555
NC1CC2(CCNC2=O)C1,-21.90612528555562
C#CC(CO)NCc1cnccc1C,-19.234642497626158
CN1CCCc2cccc(OCC#N)c21,-19.93430404043366
NNC(c1ccncc1)C1CCCCC1,-22.516927720256785
C#CCCSc1ncccn1,-19.50988703542704
Cc1ccncc1C(C)(N)C(C)C,-20.16689809305978
NS(=O)(=O)c1ccc(SCCO)cc1,-19.803870547684987
Cc1ccnc(CC(=O)C(=O)O)c1,-17.3921056167215
CN1CC2CCN(CC(N)=O)C2C1,-23.58655425825846
O=C=NCc1ccncn1,-20.627868349221547
Cc1cscc1C1CC(O)CN1,-20.4992945506717
O=C(CC1CCCCC1)NC1CCCNCC1,-19.089449706892303
CC(O)Cc1cncnc1,-20.443135032012197
CCC(CC)Oc1ccc(C#N)cn1,-19.234642497626158
Cc1ccnc(NN=CC(C)C)c1,-21.78761971398864
COC(CNCCCOCc1ccccc1)OC,-16.866107486577384
N#Cc1ncccc1C1CCCCC1,-19.88932192186706
NC1COC2COCC12,-20.566346829004647
COC(=O)c1ccccc1C=CCCO,-15.333013468518521
CCCC(C)Sc1ncccn1,-21.00413500095168
CC(C)CC(=O)NCCCc1ccccc1,-16.814044228835584
CCC(CC#N)Nc1ccc(C#N)cn1,-22.012058510940804
CCCC(C)C(=O)c1cc(C)ccn1,-17.613920876697293
CCOc1cncnc1,-20.198663785525664
NCCCCC(O)c1ccccc1,-18.320844856000086
N#CCNc1ccncc1C#N,-21.641554364354953
N#Cc1cnccc1NCC=CCN,-22.637673888012454
CCCOCC(NC)c1cc(C)ccn1,-19.777626252301907
Nc1ccc(S(N)(=O)=O)cc1,-20.946697228106903
c1cncc(OCCNC2CCCCC2)c1,-20.271750793130384
CSCC(C)CNc1ncccc1C#N,-21.607180065448585
CC(N)CNc1cncnc1,-24.52429562559732
CC(C)(N)CNC(=O)Cc1ccccc1,-19.44121276472132
NC(CO)c1ccncn1,-22.38433427362108
CC(=O)OCSc1ncccn1,-20.37993751545256
CN1CCCc2cccc(C=O)c21,-18.670513329607346
CCNc1cc(NCC(C)(C)O)ccn1,-21.95786349741925
CCC(CC)CC(=O)COCc1ccccc1,-14.522688968735814
C=CCCC(=O)OCc1ccccc1,-15.272095483051375
CN(CCCO)C(=O)Oc1ccccc1,-17.913407668818714
CSCCC(=O)c1cncnc1,-20.412278446107884
CC(C)CCCC(O)CCOCc1ccccc1,-13.905481960186599
COc1ccncc1C#N,-18.75041257521492
CNc1nc(N)ncc1N,-26.346881288195863
c1ccc(CONCCNc2ccncc2)cc1,-23.01436968626908
Cc1ccncc1C(=O)NCC=CCN,-21.157549587053566
CSCCCCNCCOCc1ccccc1,-17.393354978425386
CCCCC(Nc1ccccc1)C(N)=O,-19.44121276472132
CC(C(=O)O)c1cncnc1,-19.778661653371955
CCOC(=O)C#Cc1cc(C)ccn1,-16.74939430187516
CCNc1sccc1C#N,-20.078276015809706
NC1CCC12CCCO2,-20.566816025858845
CCSc1ccc(C(=O)OC)cc1,-16.507860078397808
CN(c1ccncc1C#N)C(C)(C)CO,-21.157549587053566
Cc1ccncc1NC(=S)NC(C)C,-22.280603043221927
O=C(CC1C=CCC1)Nc1cccnc1,-19.93430404043366
CC(O)(CN)CCCCSc1ccccc1,-17.98207980357053
CCC(CC)C(=O)c1cc(C)ccn1,-17.613920876697293
CCC(C)NCCC(=O)NCc1ccccc1,-18.485235983310595
CCOC(=O)CNc1cc(C)ccn1,-19.95304759396609
CNC(CN)c1ccncn1,-24.52429562559732
C#CCCC(N)c1cncnc1,-21.21778304363714
NN=Cc1ccc(S(N)(=O)=O)cc1,-22.522688206031233
CNCCSc1ccncn1,-23.00038593172813
CN=C1SC(CC(N)=O)C(=O)N1C,-22.453235269988177
C=CCCC(=O)Nc1ccc(C#N)cn1,-20.10226180627885
CC(CO)CN(C)c1ccncc1C#N,-21.157549587053566
CC(CN)Sc1ncccc1C#N,-21.77288057274437
CCNc1cc(OC(C)CC)ccn1,-20.162443343196358
CN(C)CCCCNc1ccc(C#N)cn1,-22.684158468549384
CC(C)C(CN)Nc1ccc(C#N)cn1,-23.00360282411326
Cc1ccnc(NC(=O)CCCCO)c1,-19.759460905878406
CN(CCN)c1cncnc1,-24.52429562559732
N#Cc1ncccc1C1CNCCOC1,-22.034861951048175
CCNC(C)C(=O)Nc1cc(C)ccn1,-21.58957827603754
CCNc1cccc(C(N)=S)n1,-22.38581861837209
C#CCCCOc1ccnc(NCC)c1,-19.041055809538477
Cc1ccncc1CNCCCCC#N,-20.87117317969761
c1cc(CNC2CCCCC2)ccn1,-20.753379299835007
Cc1ccncc1OCC(C)O,-18.628771950994157
Cc1ccncc1NCC(C)C(C)C,-19.812323468238137
C=CCC(=O)C(O)c1cnccc1C,-17.34078165986477
C=CCC(=O)NCC(N)c1ccccc1,-19.041055809538477
C=Cc1ccccc1S(N)(=O)=O,-18.42280240694311
CCCNCCOCCN(C)Cc1ccccc1,-17.868028974761383
C=CCc1cc(C)ccn1,-17.767594827162817
CC(Sc1ccncc1C#N)C(=O)O,-19.25130589332882
Cc1ccncc1CNCC(C)C,-20.16689809305978
CC(N)C(C)(O)c1cncnc1,-22.591318965568938
C#CCCC(O)CNc1cc(C)ccn1,-19.041055809538477
NC(CSc1ccccc1)Cc1ccncc1,-21.679628074156813
CC(C)(N)c1ccncn1,-22.44854693807753
NC1CCS(=O)(=O)C1,-20.006904836096595
CCCCC(O)(CC)Cc1ccccc1,-15.369344161365522
CCC=CCNc1ccncc1C#N,-20.584923578099623
CCCCC(NC)c1cnccc1C,-19.812323468238137
CCNC(=S)Nc1cncnc1,-24.374825460682665
CC1CC2(CCC2)CN1CC(N)=O,-21.454124613842808
Cc1ccncc1NC(=O)C=CCN,-21.303328674439555
CN1CCCc2cccc(N)c21,-21.241055680598706
CCNc1ncnc(O)c1N,-24.523826428743117
CNC(=O)NCc1cncc(C#N)c1,-22.73281989256165
CCNC1(C#N)CC2CNC(C2)C1,-22.86814916191853
CC(CCO)Sc1ccncn1,-21.09928100550088
CCN(CC)Cc1cc(C)ccn1,-20.16689809305978
Cc1ccc(SCC2CNCCN2C)cc1,-20.721381271525402
CCN(CCN)C(=O)COc1ccccc1,-19.440016550314528
